1514073600.0,13300.00000000,13819.99000000,11640.00000000,13500.00000000,28557.53498800,1514159999999,365709589.60302897,173557,15365.11354500,196993097.07332075,0
1514160000.0,13500.00000000,14300.00000000,12708.00000000,13699.34000000,15748.20760700,1514246399999,213139657.62891454,116416,8834.65093800,119703848.85962639,0
1514246400.0,13699.34000000,16050.00000000,13533.00000000,15689.01000000,15034.66810400,1514332799999,224843731.89656885,133133,8436.17129800,125842113.78661472,0
1514332800.0,15709.98000000,16498.05000000,14200.15000000,15459.99000000,14959.86472300,1514419199999,231229932.48204057,142202,7843.41976100,121346099.97221792,0
1514419200.0,15459.97000000,15539.99000000,13150.00000000,14182.11000000,21717.85801400,1514505599999,303401227.98652002,178032,11431.78769100,159795892.05003202,0
1514505600.0,14199.14000000,14981.00000000,13850.00000000,14378.90000000,18072.00811600,1514591999999,260911629.21807673,142100,10502.69575000,151673949.96207923,0
1514592000.0,14378.99000000,14398.85000000,11750.00000000,12440.01000000,19221.15803900,1514678399999,247803953.75248587,190204,9530.51786000,123372468.27892077,0
1514678400.0,12345.10000000,14050.11000000,12149.98000000,13716.36000000,11768.98971800,1514764799999,155283285.36704132,138893,6085.52327700,80277167.62529440,0
1514764800.0,13715.65000000,13818.55000000,12750.00000000,13380.00000000,8609.91584400,1514851199999,114799747.44197057,105595,3961.93894600,52809747.44038045,0
1514851200.0,13382.16000000,15473.49000000,12890.02000000,14675.11000000,20078.09211100,1514937599999,279717107.43371920,177728,11346.32673900,158080088.68331682,0
1514937600.0,14690.00000000,15307.56000000,14150.00000000,14919.51000000,15905.66763900,1515023999999,236116868.33619011,162787,8994.95356600,133587333.24534808,0
1515024000.0,14919.51000000,15280.00000000,13918.04000000,15059.54000000,21329.64957400,1515110399999,312781583.79830782,170310,12680.81295100,186116793.01158931,0
1515110400.0,15059.56000000,17176.24000000,14600.00000000,16960.39000000,23251.49112500,1515196799999,369321956.48683753,192969,13346.62229300,211829900.67898224,0
1515196800.0,16960.39000000,17143.13000000,16011.21000000,17069.79000000,18571.45750800,1515283199999,309216920.98641042,158242,11007.16405600,183417769.06237719,0
1515283200.0,17069.79000000,17099.96000000,15610.00000000,16150.03000000,12493.12555800,1515369599999,206194706.37068353,120269,6779.32050800,112151163.12743520,0
1515369600.0,16218.85000000,16322.30000000,12812.00000000,14902.54000000,26600.60991200,1515455999999,396569997.15746266,208642,13756.84438900,206049582.13668824,0
1515456000.0,14902.54000000,15500.00000000,14011.05000000,14400.00000000,14315.00425300,1515542399999,210630187.45766862,156656,6841.23328700,100698572.90002140,0
1515542400.0,14401.00000000,14955.66000000,13131.31000000,14907.09000000,17411.00165500,1515628799999,244011366.76302799,161476,8529.55467500,119570139.80645349,0
1515628800.0,14940.00000000,14968.68000000,11400.00000000,13238.78000000,33554.72375100,1515715199999,446587594.69373790,239416,16422.01998000,218762237.37910992,0
1515715200.0,13238.76000000,14109.78000000,12500.00000000,13740.01000000,16417.16213700,1515801599999,222516076.27145907,134452,8117.31207500,110040020.18147800,0
1515801600.0,13749.95000000,14580.00000000,13706.15000000,14210.00000000,12221.50852800,1515887999999,173086488.54788404,123639,5574.17840800,78958098.94638569,0
1515888000.0,14210.00000000,14339.50000000,12569.20000000,13474.99000000,17017.89432900,1515974399999,226525305.12938110,152364,8288.38291100,110381556.67259862,0
1515974400.0,13477.98000000,14249.99000000,13147.79000000,13539.93000000,14652.09470500,1516060799999,200614554.53834300,145362,7431.06327200,101748315.63707082,0
1516060800.0,13500.00000000,13542.93000000,9035.00000000,10900.00000000,63401.16917500,1516147199999,722150828.14940244,418243,30353.40171700,346777069.93374636,0
1516147200.0,10899.99000000,11680.99000000,9037.94000000,10988.79000000,72331.79664600,1516233599999,744154180.13120590,517293,35412.79813700,365047291.43037911,0
1516233600.0,10972.59000000,11878.82000000,10435.33000000,10961.97000000,48464.43493700,1516319999999,541289614.05840462,393112,23814.38284500,266091805.66522687,0
1516320000.0,10960.00000000,11795.00000000,10360.00000000,11474.98000000,34129.37542100,1516406399999,382773499.22657920,273271,16871.41635500,189259676.89222242,0
1516406400.0,11474.98000000,13099.00000000,11412.45000000,12799.94000000,28768.85782700,1516492799999,358561107.78097045,251647,14389.19600500,179183657.90470727,0
1516492800.0,12799.80000000,12799.80000000,10965.00000000,11530.00000000,41379.77342600,1516579199999,485289230.81889239,360207,20574.76006100,241154449.98183498,0
1516579200.0,11530.00000000,11926.35000000,9900.24000000,10760.05000000,43752.60679100,1516665599999,475716514.20869704,363264,21300.57582800,231677479.12562198,0
1516665600.0,10760.05000000,11399.00000000,9905.00000000,10799.18000000,37473.92255200,1516751999999,399419413.23298073,355286,18747.79382800,199899519.27329972,0
1516752000.0,10799.14000000,11570.48000000,10500.00000000,11349.99000000,27158.58776200,1516838399999,299470607.43020020,293429,13087.39308800,144335221.62540217,0
1516838400.0,11349.96000000,11794.05000000,10950.21000000,11175.27000000,20839.95418300,1516924799999,236081364.97365229,221040,10201.38691900,115584688.24733494,0
1516924800.0,11184.70000000,11643.00000000,10311.15000000,11089.00000000,33056.87196000,1517011199999,360482470.17375426,314720,15330.78955300,167328952.39330244,0
1517011200.0,11089.00000000,11650.00000000,10842.69000000,11491.00000000,18860.76834500,1517097599999,212663199.53348226,207478,9208.93796300,103935891.79616303,0
1517097600.0,11499.98000000,12244.00000000,11408.00000000,11879.95000000,16887.33952400,1517183999999,200211582.94345406,206247,7342.78699700,87011013.83204750,0
1517184000.0,11879.95000000,11975.02000000,11139.55000000,11251.00000000,14170.37753800,1517270399999,162110154.87880376,169199,6016.49687100,68819972.52308751,0
1517270400.0,11250.11000000,11308.42000000,9900.00000000,10237.51000000,25554.37294600,1517356799999,268978329.50861528,259212,11388.09641900,119864289.07103088,0
1517356800.0,10230.00000000,10425.85000000,9700.00000000,10285.10000000,18015.95680500,1517443199999,181644207.11316262,201422,8782.58444200,88609272.64228793,0
1517443200.0,10285.10000000,10335.00000000,8750.99000000,9224.52000000,33564.76431100,1517529599999,317636345.98437110,316020,15430.00384900,146130725.87047478,0
